 x   exp   exp
   0.00000000       1.00000000       1.00000000    
  0.100000001       1.10517097       1.10517097    
  0.200000003       1.22140276       1.22140276    
  0.300000012       1.34985888       1.34985888    
  0.400000006       1.49182475       1.49182475    
  0.500000000       1.64872122       1.64872122    
  0.600000024       1.82211888       1.82211888    
  0.699999988       2.01375270       2.01375270    
  0.800000012       2.22554088       2.22554088    
  0.899999976       2.45960307       2.45960307    
   1.00000000       2.71828175       2.71828175    
