 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -4.2700 -4.1997 -4.3999 -4.3288 -4.1325 -3.8724 -3.5862 -3.3908 -3.2145 -3.0334
 -2.8633 -2.7056 -2.5600 -2.4252 -2.2980 -2.0239 -1.7562 -1.5005 -1.3472
 -4.2608 -4.0297 -3.8444 -3.7199 -3.6491 -3.5453 -3.3760 -3.1883 -3.0123 -2.8450
 -2.6863 -2.5380 -2.4010 -2.2742 -2.1560 -1.8910 -1.6636 -1.4780 -1.3359 -1.2269
 -4.0465 -3.8177 -3.6140 -3.4414 -3.3023 -3.2088 -3.1342 -3.0180 -2.8677 -2.7090
 -2.5599 -2.4203 -2.2910 -2.1717 -2.0616 -1.8205 -1.6192 -1.4544 -1.3265 -1.2274
 -1.1480
 -3.8763 -3.6658 -3.4667 -3.2875 -3.1306 -2.9947 -2.8828 -2.7995 -2.7135 -2.5983
 -2.4653 -2.3341 -2.2119 -2.0988 -1.9944 -1.7690 -1.5862 -1.4389 -1.3225 -1.2319
 -1.1587 -1.0974
 -3.7309 -3.5419 -3.3568 -3.1824 -3.0243 -2.8829 -2.7566 -2.6443 -2.5524 -2.4679
 -2.3750 -2.2667 -2.1542 -2.0469 -1.9475 -1.7330 -1.5623 -1.4274 -1.3215 -1.2385
 -1.1711 -1.1143 -1.0652 -1.0221
 -3.6054 -3.4324 -3.2651 -3.1010 -2.9471 -2.8066 -2.6797 -2.5645 -2.4603 -2.3660
 -2.2802 -2.1956 -2.1042 -2.0083 -1.9143 -1.7086 -1.5455 -1.4186 -1.3206 -1.2448
 -1.1833 -1.1315 -1.0863 -1.0460 -1.0077 -0.9727 -0.9431 -0.9206 -0.9065 -0.9014
 -3.4998 -3.3368 -3.1820 -3.0314 -2.8848 -2.7479 -2.6224 -2.5083 -2.4048 -2.3094
 -2.2200 -2.1356 -2.0541 -1.9721 -1.8885 -1.6923 -1.5339 -1.4112 -1.3185 -1.2484
